Date	Temp
9/17/2024 19:30	69
9/17/2024 19:45	69
9/17/2024 20:00	68
9/17/2024 20:15	68
9/17/2024 20:30	66
9/17/2024 20:45	66
9/17/2024 21:00	66
9/17/2024 21:15	66
9/17/2024 21:30	66
9/17/2024 21:45	64
9/17/2024 22:00	64
9/17/2024 22:15	64
9/17/2024 22:30	67
9/17/2024 22:45	64
9/17/2024 23:00	67
9/17/2024 23:15	67
9/17/2024 23:30	67
9/17/2024 23:45	67
9/18/2024 0:00	60
9/18/2024 0:15	60
9/18/2024 0:30	60
9/18/2024 0:45	60
9/18/2024 1:00	60
9/18/2024 1:15	59
9/18/2024 1:30	60
9/18/2024 1:45	59
9/18/2024 2:00	59
9/18/2024 2:15	59
9/18/2024 2:30	59
9/18/2024 2:45	57
9/18/2024 3:00	57
9/18/2024 3:15	57
9/18/2024 3:30	57
9/18/2024 3:45	57
9/18/2024 4:00	57
9/18/2024 4:15	57
9/18/2024 4:30	55
9/18/2024 4:45	55
9/18/2024 5:00	55
9/18/2024 5:15	55
9/18/2024 5:30	55
9/18/2024 5:45	55
9/18/2024 6:00	55
9/18/2024 6:15	55
9/18/2024 6:30	55
9/18/2024 6:45	55
9/18/2024 7:00	53
9/18/2024 7:15	55
9/18/2024 7:30	55
9/18/2024 7:45	55
9/18/2024 8:00	53
9/18/2024 8:15	55
9/18/2024 8:30	55
9/18/2024 8:45	55
9/18/2024 9:00	55
9/18/2024 9:15	55
9/18/2024 9:30	57
9/18/2024 9:45	57
9/18/2024 10:00	57
9/18/2024 10:15	59
9/18/2024 10:30	60
9/18/2024 10:45	60
9/18/2024 11:00	67
9/18/2024 11:15	67
9/18/2024 11:30	64
9/18/2024 11:45	66
9/18/2024 12:00	66
9/18/2024 12:01	68
9/18/2024 12:15	68
9/18/2024 12:30	68
9/18/2024 12:45	69
9/18/2024 13:00	69
9/18/2024 13:15	69
9/18/2024 13:30	69
9/18/2024 13:45	69
9/18/2024 14:00	69
9/18/2024 14:15	69
9/18/2024 14:30	71
9/18/2024 14:45	71
9/18/2024 15:00	71
9/18/2024 15:15	71
9/18/2024 15:30	71
9/18/2024 15:45	71
9/18/2024 16:00	71
9/18/2024 16:15	71
9/18/2024 16:30	69
9/18/2024 16:45	71
9/18/2024 17:00	69
9/18/2024 17:15	69
9/18/2024 17:30	71
9/18/2024 17:45	69
9/18/2024 18:00	69
9/18/2024 18:15	69
9/18/2024 18:30	69
9/18/2024 18:45	69
9/18/2024 19:00	69
